order,output
164,(ORDER (PIZZAORDER repeat my order for (NUMBER a ) (SIZE medium ) pizza with (TOPPING vegan ) pepperoni (TOPPING black ) lives and (TOPPING additional ) cheese ) )
165,(ORDER (PIZZAORDER (NUMBER 14 ) (SIZE medium ) prawns and bell (NUMBER papers ) (DRINKTYPE pizzas with ) a two liter (VOLUME of coffees ) ) )
166,(ORDER please order (PIZZAORDER me (NUMBER a ) (SIZE personal ) (TOPPING lemon ) zest and gruyeres cheese pizza no (TOPPING bacon ) ) )
167,(ORDER i'll gofer (PIZZAORDER the eleven espresso six (NUMBER small ) (DRINKTYPE cokes ) and (NUMBER six ) (SIZE small ) (DRINKTYPE fantasy ) ) )
168,(ORDER i like (PIZZAORDER (NUMBER 1 ) (SIZE medium ) pie with (TOPPING sweet ) (TOPPING potatoes ) (TOPPING pepperoni ) but no a (NOT (QUANTITY little ) (TOPPING cheese ) please ) ) )
169,(ORDER let me (PIZZAORDER prefer (NUMBER 15 ) (SIZE personal ) pizzas with (TOPPING light ) ham and (NUMBER 15 ) (SIZE personal ) pizzas with (QUANTITY extra ) (TOPPING spicy ) red sauce ordered ) )
170,(ORDER i feel (PIZZAORDER like having (NUMBER 1 ) (SIZE largesse ) pizza with hot (TOPPING peppers ) pineapple (TOPPING and ) pepperoni (TOPPING please ) ) )
171,(ORDER i want (PIZZAORDER (NUMBER a ) pizza with (TOPPING red ) (TOPPING cabbage ) parmesan and (NOT (TOPPING no ) roasted red peppers ) ) )
172,(ORDER (PIZZAORDER for this afternoon i think i'd like 1 large (NUMBER pie ) (SIZE with ) jalapeños and (TOPPING all ) the veggies pesto ) )
173,(ORDER (PIZZAORDER good evening i want to order (NUMBER 12 ) (SIZE small ) pizzas with (TOPPING tofu ) and light on the hot (NOT (TOPPING peppers ) ) ) )
174,(ORDER hey order me (PIZZAORDER (NUMBER 4 ) (SIZE small ) goat (TOPPING cheese ) pizza and (NUMBER 4 ) cans of pllegrino ) )
175,(ORDER could i get (PIZZAORDER (NUMBER a ) (SIZE small ) pizza with truffle oil and (TOPPING onions ) ) )
176,(ORDER i will (PIZZAORDER go for (NUMBER a ) (SIZE medium-size ) mushroom and (TOPPING pepperoni ) pie (TOPPING with ) a little (QUANTITY bit ) cheese (STYLE on ) (TOPPING it ) ) )
177,(ORDER i'd ty (PIZZAORDER 1 hams (NUMBER and ) (TOPPING black ) beans (TOPPING pizza ) (TOPPING with ) no onions please ) )
178,(ORDER i need (PIZZAORDER an order of (NUMBER a ) additional are pie with (TOPPING olives ) and (TOPPING chicken ) (TOPPING also ) add some additional cheese ) )
179,(ORDER (PIZZAORDER begin an order for me that includes (SIZE a ) pizza in (SIZE small ) size along with (TOPPING low ) (TOPPING fat ) cheese and (TOPPING black ) beans but without ham ) )
180,(ORDER i would like (PIZZAORDER to order (NUMBER a ) pizza with (TOPPING artichokes ) and (TOPPING canadian ) bacon but no be sauce ) )
181,(ORDER i need (PIZZAORDER an order of 5 of the (TOPPING onions ) and (TOPPING leeks ) pizzas with the pesto (NOT (TOPPING sauce ) ) ) )
182,(ORDER i like (PIZZAORDER (NUMBER a ) (SIZE medium-sze ) grilled chicken and (NOT (TOPPING truffle ) (TOPPING oil ) pizza ) ) )
183,(ORDER (PIZZAORDER do me (NUMBER a ) favor and get me (SIZE a ) (SIZE large-size ) pizza with carrots ham (TOPPING green ) (TOPPING peppers ) (TOPPING and ) (TOPPING heavy ) on sauce (TOPPING and ) heavy on cheese ) )
184,(ORDER (PIZZAORDER can e go for (NUMBER 10 ) (SIZE large ) pizzas with leeks (TOPPING hamburger ) and bell papers please ) )
185,(ORDER i like (PIZZAORDER (NUMBER 1 ) pizza with (TOPPING ham ) and (TOPPING pesto ) and leave off the (NOT (TOPPING olives ) ) ) )
186,(ORDER (PIZZAORDER for this afternoon i only ant (NUMBER a ) (SIZE medium ) pizza and i'll try it with sauce chicken (TOPPING as ) (TOPPING well ) as salami thanks a lot ) )
187,(ORDER i'll go (PIZZAORDER with a much (NUMBER pie ) (SIZE with ) tomato and (TOPPING priapean ) but (TOPPING without ) mushrooms in (NOT (TOPPING it ) ) ) )
188,(ORDER i am (PIZZAORDER (NUMBER just ) (STYLE ordering ) soft drinks tonight give me (NUMBER 1 ) (DRINKTYPE Grape ) juice (NUMBER 1 ) (DRINKTYPE diet sprite ) and (NUMBER three ) (DRINKTYPE pepsi ) please ) )
189,(ORDER (PIZZAORDER for this afternoon i think i'd like a extra (SIZE large ) (SIZE prosciutto ) and beef pizza without any bacon ) )
190,(ORDER (PIZZAORDER i prefer t have (NUMBER 5 ) (DRINKTYPE cranberry ) juice two (NUMBER dr ) (DRINKTYPE peppers and ) a (NUMBER sprite ) ) )
191,(ORDER i'm going (PIZZAORDER to g with 1 pizza with mint and pineapple (TOPPING and ) leave off the olives ) )
192,(ORDER i need (PIZZAORDER order of (NUMBER a ) me salami (TOPPING broccoli ) and pineapple pizza ) )
193,(ORDER (PIZZAORDER hello today i'd like to order 1 mediumsize (NUMBER all ) (SIZE the ) veggies pizza ) )
194,(ORDER (PIZZAORDER i think i'll stick with a pizza (NUMBER along ) with truffle oil black olives but (TOPPING no ) (TOPPING banana ) (TOPPING pepper ) ) )
195,(ORDER i'd (PIZZAORDER be happy with 12 mediu-size (SIZE pies ) (STYLE with ) cheese (SIZE and ) mint but hold (TOPPING pesto ) ) )
196,(ORDER good evening (PIZZAORDER i need (NUMBER one ) (SIZE extra ) large pie with (TOPPING lettuce ) and (TOPPING hot ) (TOPPING peppers ) without any black (NOT (TOPPING olive ) please ) ) )
197,(ORDER (PIZZAORDER (NUMBER 9 ) (SIZE medium ) pizzas with (TOPPING pepperonis ) (TOPPING onions ) and (TOPPING pest ) sauce ) )
198,(ORDER i want (PIZZAORDER to finalize with a (SIZE extra ) (SIZE large ) pizza with kimchi sweet potatoes but hold prosciutto ) )
199,(ORDER can i order (PIZZAORDER (NUMBER three ) (SIZE medium ) pizzas with (TOPPING green ) peppers and (TOPPING lettuce ) make sure they hold the onions ) )
200,(ORDER please order me (PIZZAORDER (NUMBER a ) (SIZE lunch ) pizza i'd love pickled onions on it and i love mean please do not put any red peppers (NOT (TOPPING on ) there i don't like red ) ) )
201,(ORDER i need (PIZZAORDER to place an order for (NUMBER a ) (SIZE extra ) large (TOPPING lies ) and (TOPPING pineapple ) pizza with (NUMBER a ) (SIZE medium ) (DRINKTYPE pepsi ) ) )
202,(ORDER could you (PIZZAORDER put in (NUMBER 15 ) (SIZE lunch ) (STYLE gluten-free ) crust meat lovers pizzas ) )
203,(ORDER (PIZZAORDER please arrange to get (NUMBER a ) pie with (SIZE extra ) large sized along with (TOPPING basil ) and (TOPPING chicken ) but no (NOT (TOPPING vegan ) ) ) )
204,(ORDER (PIZZAORDER (NUMBER eleven ) (SIZE extra ) are pizzas with (TOPPING green ) peppers olives and (TOPPING arugula ) ) )
205,(ORDER (PIZZAORDER (NUMBER 11 ) (SIZE lunch ) pizzas with (TOPPING cherry ) tomatoes banana (TOPPING pepper ) and (TOPPING hamburger ) ) )
206,(ORDER (PIZZAORDER hello today i like to order (NUMBER a ) pizza with more tofu and pepperoni and no pesto (NOT (TOPPING please ) ) ) )
207,(ORDER please want (PIZZAORDER (NUMBER a ) (SIZE medium-sized ) pie with artichokes and (TOPPING alfredo ) chicken without (TOPPING green ) peppers ) )
208,(ORDER i'll try (PIZZAORDER one medium-size (NUMBER pineapple ) (SIZE and ) truffle oil pie with no pepperoni please ) )
209,(ORDER (PIZZAORDER for today please make me (NUMBER a ) pie with (QUANTITY roasted ) (STYLE red ) peppers a lot (QUANTITY of ) (TOPPING cheese ) and without (NOT (TOPPING bacon ) ) ) )
210,(ORDER i'm leaning (PIZZAORDER toward a medum-size (NUMBER pizza ) with roasted (SIZE garlic ) and salami but (TOPPING without ) (TOPPING combination ) ) )
211,(ORDER (PIZZAORDER hello today i'd like to order a me (NUMBER pie ) and no cumin please ) )
212,(ORDER could i get (PIZZAORDER (NUMBER a ) pie with (TOPPING zucchini ) and (TOPPING peppers ) (TOPPING but ) avoid adding tuna (NOT (TOPPING please ) ) ) )
213,(ORDER i'm having a (PIZZAORDER party (NUMBER in ) a few hours and i ned a pizza (NUMBER and ) bacon along (TOPPING with ) pineapple but (TOPPING hold ) additional cheese ) )
214,(ORDER (PIZZAORDER do me (NUMBER a ) favor and get me 1 (SIZE personal ) (TOPPING mushroom ) (TOPPING tuna ) and (TOPPING onion ) pie please ) )
215,(ORDER how about grabbing (PIZZAORDER (NUMBER 1 ) (SIZE medium-sized ) pizza with garlic powder (TOPPING and ) (TOPPING mushrooms ) and (TOPPING without ) additional cheese ) )
216,(ORDER (PIZZAORDER (NUMBER eleven ) (STYLE all ) pizzas with (TOPPING lettuce ) and (TOPPING roasted ) red peppers ) )
217,(ORDER (PIZZAORDER order (NUMBER a ) (SIZE extra ) are pizza i'd love tomato on it and i love combination please do not put any ham on (TOPPING there ) i don't like ham on pizza ) )
218,(ORDER i'd like a (PIZZAORDER total (NUMBER of ) a gruyeres cheese and pesto pie (TOPPING with ) mushrooms ) )
219,(ORDER (PIZZAORDER (NUMBER a ) (SIZE medium ) pie with (QUANTITY extra ) (TOPPING pine ) (TOPPING apple ) (TOPPING feta ) without (NOT (TOPPING ricotta ) (NOT (TOPPING cheese ) ) ) )
220,(ORDER (PIZZAORDER for tonight i just want (NUMBER a ) (TOPPING green ) (TOPPING upper ) and (TOPPING chicken ) margarita pie with (NUMBER a ) Fruit punch ) )
221,(ORDER i want (PIZZAORDER to get (NUMBER a ) me pizza with (TOPPING tomatoes ) and (NUMBER a ) (TOPPING drizzle ) parmesan (TOPPING only ) no mushrooms ) )
222,(ORDER i will get (PIZZAORDER (NUMBER a ) pie along with (TOPPING pine ) (TOPPING apple ) ricotta (TOPPING cheese ) but without (NOT (TOPPING red ) cabbage ) ) )
223,(ORDER can i have (PIZZAORDER (NUMBER 14 ) (STYLE me ) (STYLE everything ) pizzas and (NUMBER one ) (SIZE large ) vegetarian pizza ) )
224,(ORDER i am (PIZZAORDER just ordering oft drinks tonight give me a (NUMBER pizza ) with mint (TOPPING and ) savage hold the pineapple (NOT (TOPPING that's ) it ) ) )
225,(ORDER i'll have (PIZZAORDER a personal (NUMBER combination ) (SIZE pizza ) (STYLE with ) ricotta cheese (TOPPING but ) (TOPPING i ) don't want any sausage on it ) )
226,(ORDER (PIZZAORDER good evening i need (NUMBER 15 ) Fruit punch and (NUMBER a ) (DRINKTYPE coke along ) with (NUMBER five ) (SIZE medium ) (DRINKTYPE fantasy ) ) )
227,(ORDER (PIZZAORDER start an order for (NUMBER a ) pizza with (TOPPING roasted ) (TOPPING red ) peppers (TOPPING chorizo ) and no (NOT (TOPPING ham ) ) ) )
228,(ORDER i want (PIZZAORDER you to put n an order for (NUMBER one ) (SIZE medium ) (STYLE thin ) crust (TOPPING peas ) (TOPPING bacon ) (TOPPING cherry ) (TOPPING tomatoes ) and (TOPPING mushroom ) pizza with (SIZE a ) (DRINKTYPE large ) Orange juice (NUMBER and ) (SIZE a ) large coke ) )
229,(ORDER (PIZZAORDER can you get me (NUMBER 11 ) hamburger pizzas with (TOPPING sweet ) corn and ham ) )
230,(ORDER give me (PIZZAORDER 9 (SIZE of ) the medium-sized pop seeds (TOPPING and ) ham (NUMBER pizzas ) ) )
231,(ORDER (PIZZAORDER how about placing an order for (SIZE 1 ) (SIZE extra ) (STYLE large ) (STYLE yellow ) (TOPPING peppers ) pizza with (NUMBER a ) (SIZE medium ) (DRINKTYPE ice tea ) ) )
232,(ORDER i'd love (PIZZAORDER to place an order for 1 medium-size (SIZE pie ) (SIZE and ) i think i'll go for toppings of garlic powder and i guess olives (TOPPING also ) i don't like meat ) )
233,(ORDER i need (PIZZAORDER (NUMBER one ) (SIZE medium ) pizza with a lot f (TOPPING pepper ) and (TOPPING peas ) and (TOPPING pickled ) onions ) )
234,(ORDER (PIZZAORDER for tonight i just want (NUMBER a ) (TOPPING hawaiian ) and (TOPPING spinach ) (TOPPING red ) onions ) )
235,(ORDER i wanted (PIZZAORDER to have 10 media pizzas with sirach (TOPPING sauce ) and mushrooms (TOPPING and ) make sure it has light on sauce ) )
236,(ORDER i'd like to (PIZZAORDER get 8 medium (NUMBER pizzas ) (SIZE with ) garlic powder (TOPPING green ) (TOPPING olives ) (TOPPING and ) (TOPPING tuna ) ) )
237,(ORDER can i order (PIZZAORDER (NUMBER a ) (SIZE extra ) large pizza with (TOPPING red ) peppers (TOPPING feta ) and (STYLE thin ) crust ) )
238,(ORDER get me (PIZZAORDER (NUMBER a ) pie with (TOPPING caramelized ) onions (TOPPING olives ) but (TOPPING hold ) pesto ) )
239,(ORDER i need (PIZZAORDER to get (NUMBER five ) pizzas ) )
240,(ORDER (PIZZAORDER for today please make me (NUMBER 3 ) hummus red (TOPPING onions ) and roasted (TOPPING red ) peppers pizzas please ) )
241,(ORDER (PIZZAORDER okay let me think okay i'll take a pizza (NUMBER with ) little grille chicken (TOPPING and ) (TOPPING sausage ) and (TOPPING no ) pesto ) )
242,(ORDER (PIZZAORDER let's finalize with 13 large-size roasted (SIZE garlic ) (SIZE and ) bacon pizzas (TOPPING and ) (TOPPING add ) two (TOPPING large ) sparkling water to (SIZE go ) (SIZE with ) it ) )
243,(ORDER (PIZZAORDER put an order in for (NUMBER a ) hawaiian pizza lunch ) )
244,(ORDER (PIZZAORDER (NUMBER 5 ) (SIZE personal ) pizzas with (TOPPING lettuce ) and (TOPPING tuna ) ) )
245,(ORDER give me (PIZZAORDER (NUMBER a ) (SIZE small ) (TOPPING black ) (TOPPING beans ) parmesan with no (NOT (TOPPING onions ) ) ) )
246,(ORDER can you order (PIZZAORDER (NUMBER a ) (STYLE stuffed ) crust pizza personal ) )
247,(ORDER think i'll (PIZZAORDER just have a pizza with smoked salmon pepper and (TOPPING bell ) peppers (TOPPING please ) ) )
248,(ORDER i lie (PIZZAORDER (NUMBER a ) (SIZE personal ) pie and i'd like pesto on there as well as bacon but definitely no onions thanks ) )
249,(ORDER i (PIZZAORDER am trying to oder (NUMBER a ) (SIZE lunch ) pizza tonight with double garlic (TOPPING powder ) (TOPPING let's ) see i also want be sauce but i do not want any bacon thanks a ) )
250,(ORDER today (PIZZAORDER i just need (NUMBER a ) (SIZE much ) pizza with (TOPPING peas ) and poppy seeds do not include (TOPPING roasted ) (TOPPING eggplant ) ) )
251,(ORDER i'm in (PIZZAORDER the good to try a large-size (NUMBER pie ) (SIZE with ) lw fat cheese and peppers without (TOPPING pineapple ) ) )
252,(ORDER i think (PIZZAORDER i'll take a pizza (NUMBER and ) i'd like pineapples on it along with pineapple and bacon thanks ) )
253,(ORDER will try (PIZZAORDER (NUMBER 4 ) (SIZE medium-sie ) pizzas with beef onions and (TOPPING pesto ) ) )
254,(ORDER i wanted (PIZZAORDER (NUMBER a ) (SIZE lunch ) (STYLE thin ) crust poppy seeds and (TOPPING mushrooms ) pie ) )
255,(ORDER today i'd like (PIZZAORDER pie which is vegan pepperoni (TOPPING roasted ) red (TOPPING peppers ) and add some (TOPPING extra ) black olives ) )
256,(ORDER i opting (PIZZAORDER for a (NUMBER medum-sized ) (SIZE pesto ) sauce footing cheese (TOPPING and ) (TOPPING pineapple ) (TOPPING pizza ) (TOPPING please ) ) )
257,(ORDER i just need (PIZZAORDER (NUMBER a ) pizza please make it (TOPPING all ) for (TOPPING toppings ) i'm in the mood for truffle oil cheeseburger and go ahead and put some pineapple on it thanks ) )
258,(ORDER (PIZZAORDER he about fixing me up with (NUMBER 1 ) pie with (TOPPING tomato ) pin (TOPPING apple ) along with (TOPPING bacon ) ) )
259,(ORDER i prefer to (PIZZAORDER have (NUMBER a ) (TOPPING pineapples ) and (TOPPING sausage ) pizza with no pesto ) )
260,(ORDER (PIZZAORDER (NUMBER mdium-size ) (SIZE pizza ) with parsley and duck (TOPPING skip ) the (TOPPING be ) chicken ) )
261,(ORDER good evening i (PIZZAORDER want to order 1 (SIZE extra ) (SIZE large ) (TOPPING green ) (TOPPING peppers ) and (NUMBER 1 ) (SIZE large ) (TOPPING green ) peppers pizza ) )
262,(ORDER (DRINKORDER can you arrange (NUMBER a ) Bubble tea (NUMBER two ) (DRINKTYPE dr peppers ) and (NUMBER four ) (SIZE extra ) large (DRINKTYPE pepsi ) please ) )
263,(ORDER i anted (PIZZAORDER three (NUMBER pizzas ) with mushy peas cumin but (TOPPING hold ) (TOPPING any ) leeks ) )
264,(ORDER (PIZZAORDER (NUMBER a ) (SIZE lunch ) pizza with (TOPPING cheddar ) (TOPPING cheese ) and (TOPPING spinach ) ) )
265,(ORDER (PIZZAORDER can you sort ut (NUMBER a ) pie and make it (SIZE medium ) size for toppings (TOPPING i'd ) like green bell peppers (TOPPING and ) black beans (TOPPING but ) (TOPPING i'd ) appreciate it if you leave off ) )
266,(ORDER order e (PIZZAORDER (NUMBER a ) pie with be roasted red peppers (TOPPING be ) sauce and (TOPPING do ) not (STYLE add ) roasted red peppers please ) )
267,(ORDER (PIZZAORDER (NUMBER get ) (SIZE a ) medium-size pizza with parmesan onions (TOPPING and ) (TOPPING light ) cheese (TOPPING and ) two small (NUMBER Bubble ) (SIZE tea ) ) )
268,(ORDER let me (PIZZAORDER try (NUMBER a ) pizza and make sure there's light green peppers (TOPPING on ) it and feta cheese (TOPPING on ) (TOPPING there ) also but (TOPPING definitely ) no pesto thanks a lot ) )
269,(ORDER i'll make (PIZZAORDER choice as 14 medium (NUMBER pickles ) (SIZE pizzas ) (TOPPING two ) medium pepperoni (SIZE pizzas ) one large (SIZE dee ) (SIZE dish ) pizza and two coffees ) )
270,(ORDER hey order (PIZZAORDER me (NUMBER a ) pizza with (TOPPING green ) (TOPPING bell ) (TOPPING peppers ) and (TOPPING lowest ) (TOPPING cheese ) hold the (NOT (TOPPING pineapple ) that's it ) ) )
271,(ORDER can i (PIZZAORDER try (NUMBER a ) (SIZE extra ) large pizza and it would be great if you (TOPPING put ) jalapeños and chicken on there thanks have a great day ) )
272,(ORDER please order (PIZZAORDER (NUMBER a ) (SIZE medium ) duck and (TOPPING roasted ) (TOPPING red ) (TOPPING onion ) (TOPPING pie ) with absolutely no (NOT (TOPPING tuna ) please ) ) )
273,(ORDER i would (PIZZAORDER like ave (NUMBER a ) (SIZE extra ) are pizza with sauted spinach tomato sauce (TOPPING ham ) (TOPPING onions ) (TOPPING and ) black (TOPPING olives ) and three (NUMBER extra ) (SIZE are ) Sparkling lemonade ) )
274,(ORDER i want (PIZZAORDER to order (NUMBER a ) (SIZE large ) light (TOPPING hams ) mushypeas (TOPPING pizza ) with no bacon ) )
275,(ORDER i'd love (PIZZAORDER to place an order for a cranberry (NUMBER juice ) (DRINKTYPE six ) extra large (NUMBER diet ) (SIZE cokes ) and (DRINKTYPE a medium ) santa ) )
276,(ORDER get (PIZZAORDER (NUMBER a ) (SIZE extra ) are pie with (TOPPING garlic ) and (TOPPING mushrooms ) and no (NOT (TOPPING peppers ) ) ) )
277,(ORDER i think (PIZZAORDER ill order (NUMBER 1 ) (SIZE medium-sized ) pizza with tofu sausage mushrooms green (TOPPING pepper ) (TOPPING black ) (TOPPING olives ) onions and (TOPPING more ) cheese ) )
278,(ORDER i'm i (PIZZAORDER the mood to try a pie (NUMBER with ) tofu mushrooms and (TOPPING no ) (TOPPING jalapeños ) ) )
279,(ORDER i'm in (PIZZAORDER the mood for two pizzas (NUMBER all ) with footing cheese red (TOPPING onions ) (TOPPING and ) (TOPPING pepperoni ) ) )
280,(ORDER (PIZZAORDER can choose (NUMBER five ) pizzas with (TOPPING chicken ) and stuff crust (TOPPING peppers ) ) )
281,(ORDER (PIZZAORDER make an order for one (SIZE additional ) (SIZE large ) pizza with (TOPPING lettuce ) canadian bacon (TOPPING green ) peppers onions black olives additional cheese and additional lettuce and four additional large diet cokes ) )
282,(ORDER (PIZZAORDER (SIZE personal ) pizza with (TOPPING oregano ) mushy peas (TOPPING and ) no a tiny bt of cheese please ) )
283,(ORDER i'll take (PIZZAORDER fourteen tomatoes (NUMBER and ) (TOPPING jalapeño ) peppers (TOPPING prosciutto ) pies ) )
284,(ORDER (PIZZAORDER put in an orderer a (SIZE medium-sized ) (SIZE pizza ) with green pepper also (TOPPING if ) (TOPPING you ) could also put some pepperoni on (TOPPING there ) and if you could also have that with pineapple ) )
285,(ORDER (PIZZAORDER my order to today is for (NUMBER 1 ) pizza with (TOPPING mushrooms ) and (TOPPING pesto ) and i do not want deep dish ) )
286,(ORDER i'm in (PIZZAORDER the mood for a al (NUMBER pie ) and i want anchovies on (NOT (TOPPING it ) and same and absolutely make it vegan thanks a lot ) ) )
287,(ORDER i'd like (PIZZAORDER o order a lunch (NUMBER lamb ) (SIZE pizza ) with additional cheese (TOPPING and ) (TOPPING no ) mushrooms ) )
